review_text,is_recommended
"Since I received the free sample with one of purchases I’ve been obsessed with this face cleanser. The little travel size bottle lasted me about 2-3 weeks (and I used it everyday) as you only need a bit for every use. It’s doesn’t foam up but it gets into a creamy texture. As an exfoliant it’s scary because you’re not sure if it will dry out your face or if the traditional little beads in the exfoliant will be too much, but this exfoliant is perfect it only has a few beads and the smell is great, it doesn’t leave my skin feeling dry and I can feel how clean it is. I have very large pores around my nose area and within two weeks of using it *gross part is coming* I squeezed around my large pores and a bunch of black heads just started coming out with almost no pressure so I didn’t damage my skin from squeezing and everything still came out. I have continued this process and I can see that some of the pores are now smaller. I bought the large version and refilled my travel size and I don’t think I will stop using it.",1.0
"This product is definitely the best makeup removing balm I’ve tried. It doesn’t leave an oily residue behind and the makeup does “melt“ away, and it smells super good too!",1.0
"I was looking forward to using this product because of all the good things I’d heard about it but it disappointed me. After the first use it left my skin red, flaky and it burned. The redness continued for three days. The mask also broke me out (I’m don’t have acne prone skin) and it’s been 2 months and I’m still trying to get rid of those break out areas. It left my skin very sensitive especially on my cheeks and around my nose. I do not recommend this product, especially if you have sensitive skin. I only got to use the mask once and it was a big waste of money. The mask wasn’t soothing and it had a strong smell to it as well.",0.0
"I was super excited to try this essence because it is so hyped up, but was honestly disappointed. It had no noticeable effect on my skin. Thin and watery and not as hydrating as I prefer. Not bad by any means but not special. I received this product complimentary of Influenster for reviewing purposes.",0.0
"Kind of scared to use it, I received it in the mail and right away noticed a ton of white fibers/clumps inside, like almost half the bottle looks that way. Not sure if it’s some kind of mold or if it’s nothing but it definitely makes me nervous to put it on my face. It is pretty cold right now where I live so I’m going to let it sit for a while and see if that goes away.",0.0
"Very underwhelmed by this. I expected a lotion or cream, not a saturated fat. I had to use quite a bit just to get my non-waterproof mascara off.  Eventually I got it off, and eyes are soft, but I see this getting used up pretty quickly.",0.0
"I really love this eye moisturizer. I apply it before I go to bed and skin around my eyes is smooth and fresh in the morning. It works well on my ultra dry, aging skin.",1.0
"I love the texture - so creamy. This is a great moisturizer so if dryness is your biggest concern I wouldn’t hesitate to get this. And after a couple of weeks I definitely noticed the darkness under my eyes has gone down and my skin just looks brighter.HOWEVER this did nothing for my fine lines that have recently appeared (I’m in my late twenties). And unless you put on a good primer every time you wear concealer, I don’t reccommend this product for under makeup. Even after a good concealer and setting powder, the cream just settled into my two littles lines.",1.0
"I really wanted to love this product after hearing a few friends rave about it and seeing their very noticeable results. I have combo/oily skin that is somewhat sensitive, and this product really irritated my skin and made me break out. I thought my skin might get used to it but even after diluting it with moisturizer and using it only once a week or once/2 weeks, I still broke out every time.",0.0
"I have been using this product for over a year now, and I love it. It has cleared my complexion up since using it.",1.0
"Clogged my pores, I tried it 2 separate times.",0.0
"This stuff left me amazed! I wear a full face of makeup that never comes off with just one wash and I tried out a small nickel sized amount of product with water and lathered like directed, and it wiped off EVERYTHING! Even my raccoon mascaras leftover was swiped clean! I’m floored and my face felt like a baby butt after. Tried it alongside the peptide cream and I woke up with fresh, even, plump looking skin. I’m buying the full size of both products",1.0
"Not a fan of this. The smell is nice, and the consistency has a nice feeling when applied but it sucks all the moisture out of my skin, after I apply it my skin is so dry that when I make an expression it itches and stings. Not sure if that’s because it’s silicone free or just not moisturizing enough. For the price I have to pass! My search for the holy grail moisturizer continues.",0.0
I received this product complementary for my honest review. I enjoyed the subtle scent of this product. It is a great gentle exfoliator! I feel that is better than the one I am currently using. Therefore I will be purchasing this in the future. Totally recommend!,1.0
"All I can say about this product is WOW. I will start by stating that am blessed with naturally healthy skin, so it’s rare that I see any significant changes when I use a new skincare product. But let me tell you that this product is my new holy grail - not only is it beautifully packaged, but the texture is lovely. Goes on slightly “slick” (not oily or sticky) and my skin absorbs it well. I wake up with the softest, plumpest, most hydrated skin I’ve ever had. Honestly I’ve started calling it my “botox”. A little goes a long way so in my opinion, although the botte is on the small side it’s most definitely worth the price. It has no scent which I appreciate because I feel a lot of skin products either are too overwhelming scented, or they smell like straight up chemicals. Overall I’m in love and can’t wait to buy this again.",1.0
"I have normal skin for the most part (a little dry, some fine lines), but I still try to use ultra gentle cleansers, just to be safe and avoid irritating it. This was definitely gentle on my skin (no redness, stinging, or breakouts, and it was cooling upon application), and my face felt clean after using it. However, a) it is overpriced. There are other gentle cleansers out there that do the exact same thing and feel the same for like a third of this price; and b) it had a slightly strange smell—I think it’s trying to be cucumber, but it smells more like a cucumber that’s starting to rot. I might finish off the sample bottle I got, but would not purchase.",0.0
"I was really excited to try out this moisturizer because of all the good reviews and how much i like the drunk elephant brand. First time using it made my face sting, get all red and irritated, and i did not feel moisturized at all. I have no idea what caused this reaction!",0.0
"unfortunately this product was far too harsh on my extremely dry skin. I started noticing a bit of a rash as well after use, which may be an allergy to be fair (although I’ve never had a reaction to anything like this before). I will say it felt pretty terrible on my skin regardless.  wouldn’t recommend if youre someone with exceptionally dry skin in the winter.",0.0
"This cream is very hydrating and left my skin very soft. I love how it is a gel formula, works perfectly for my combination skin. Smells amazing and doesn’t feel too greasy like some other moisturizers.",1.0
"I expected a night moisturizer to be more.. moisturizing. I also never break out with products and this cream wrecked my face. Not a fan, really wish I didn’t waste the money.",0.0
"My face feels pretty good after using it. But, I don’t like the texture of the product and it doesn’t spread on the face easily. I’m glad I tried it, but I would not buy it (got a trial size).",0.0
"I recieved this as a sample in the “fantasic four set“ and this is a HOAX. It isn’t your skin that is rolling off, it’s the product clumping because of the friction from rubbing it on you face. I know this because put a pea-sized drop of the product on my countertop and used gloves to rub it on the counter top. It clumped the same way it did on my skin. I wouldn’t waste my money on this SCAM. Please test it for yourself ladies.",0.0
"It’s a great product, I only chose to give it three stars because I don’t agree people with oily skin should use this. Personally I try everything to get rid of the oily-look, only to layer this on as my last step and just. . . Look oily.",0.0
Broke me out so much . I used chemical exfoliants bc they work best for me . But this wrecks my skin every time i use it . I have a break out for 3 days . Not a fan,0.0
My skin feels so hydrated! I have been using this for a week straight. I mix this with my DE vitamin c serum and my skin loves it! It absorbs really quickly. I also love the packaging.,1.0
"Okay. So, I was super skeptical about this stuff. I used to work for Sephora and all my pals that still work for corporate and the stores were raving about this product when it first launched. It took me a while to finally suck it up and try it, and I’m sooooo glad I did. The first time I used it and applied my serum and moisturizer over the top my skin legit felt like a porcelain doll. SOOOOO SMOOTH! I get all the hype now! I’m totally obsessed! Oh and a little goes a long way! Most definitely worth every penny!",1.0
Im african american and i have some undereye darkness and this did absolutely nothing and not moisturizing for my eyes either,0.0
Love love love. I repurchase this every time I run out. Sad they no longer have the 8 oz version which lasted me almost 6 months. My favorite part about this wash is that my skin literally squeaks after I use it-- a feeling I have not gotten with any other face wash and that I am now addicted to.,1.0
"I got the mini size of this as a free sample with my points and I was super excited that someone as broke as me was allowed to touch a Tatcha product. However, that is where my excitement ended. What is with the intense amount of fragrance in here, folks? The first time I used this, I could smell it on my skin for like 2 hours, and I am not a person at all sensitive to smell. It’s a nice smell, I guess, but I really try to stay away fro fragrance and it’s weird to me that this particular product would go so hard with their stank, since it is a “clean“ product and a leave-on cream. Fragrance of all kinds is bad for your skin, even if you don’t notice it now!!! It does a nice job of hydrating the skin, I will say/. Buuuuuut...so do a lot of other products that cost a lot less than this. I will finish my tiny lil cute tub of this (very precious packaging on the mini size) but would absolutely never dream of buy the VERY EXPENSIVE full size version.",0.0
I got this product about 6 months ago and when i first used it I felt the tingle that other reviewers were talking about and it freaked me out because to me it  felt more like burning. I immediately washed it off. I decided after all this time to give it another chance and I don’t know what happened this time that was different from my first initial use but this time it worked great. The tingling sensation was minimal and lasted for a few seconds and it is sticky to the touch but i didn’t feel it while laying down on my pillow. I woke up this morning and my skin looks like i went and gotten a facial. I don’t know what’s going to happen with further use but I’m excited already.,1.0
"Product arrived a dark greenish grey instead of the blue as shown in pictures. Had a strong smell of alcohol and was sort of sour and minty, with a layer of spotted fluid on top and along the sides. Was supremely disappointed, didn’t even bother using it as it was obviously off. Seems like this has happened to a few people over the years and might have something to do with how quickly this formula goes bad.",0.0
"This is so moisturizing! i also have the lip sleeping mask, but this is better for during the day. The applicator makes it so you can easily control how much comes out of the tube. it’s not meant to be super pigmented, which I like because I can wear it all the time that way. I have incredibly dry lips, and this has helped so much.",1.0
The fact that this has such rave reviews is quite puzzling. It literally feels like I splashed water on my face. Nothing more.  Disappointing.,0.0
after blending and blending and blending still left green gray residue? product ended up balling up and messing up my makeup completely 0/5 stars if it was an option,0.0
This product is nice as it’s not to great and doesn’t get all over your sheets. The only downside is that it feels like any other chap steak and ends up drying out by the time I’m awake. I also wish this was in a stick form as you have to rub your finger in the product a few times due to the more solid consistency. I received this item from influencer,1.0
"It did a pretty good job removing my sunscreen and waterproof mascara. I recommend putting it on a dry face, instead of damp like the bottle says. It doesn’t melt super well and sometimes it feels like there’s film on your face.",0.0
I was super excited to try this as I love other Milk Makeup products but this broke me out! I was pretty disappointed to say the least.,0.0
This is the best exfoliator I’ve ever used.  Wish it was sold in larger quantities.,1.0
"Sticky, smells bad. Very very thick. Not what I was expecting at all. Do not purchase if you are looking for a water gel consistency of any kind. This is more of a silicon primer than a moisturizer.",0.0
Alright this is literally my first review. I bought this in 2018 and I really loved it. It was one of my favorite back then and  I became a huge fan of KORRES. I bought it again and I’m pretty sure that they changed the formula because the new generation is the worst. It dries out my eye area skin and it is peeling now. However my forehead and nose are so oily and I feel like I can never truly get this oil screen off my face. The worst experience ever. Never got so disappointed by a skincare product before.,0.0
I received mine from Influenster for an honest review. The consistency is on the thicker side which I like and it doesn’t do a bad job of moisturizing at all. I like the ingredients in it and it helped plump my skin! Great product.,1.0
This product was gifted by Fresh.  This serum has a light weight texture and has been a good addition to my skincare routine. I’m liking how it makes my skin feel thus far. It’s very hydrating and soaks into my skin well.,1.0
"i got this as a sample and i noticed no real difference it just made my face soft. that was it, smells bad too. not for me.",0.0
This product left my face feeling clean and not sticky at all! I loved the products consistency and texture! Definitely recommend!,1.0
"amazing!Love at 1st use..I decided to tryout this brand because I read very good reviews about it and now I totally agree that this product is a miracle, it’s easy to apply.. and rise off; immediately you’ll feel smoother & bringer skin :)",1.0
the size is good the price is good too...if i could rank out this product from five star which 5 is the best and 1 is the least thing...i would defiantly rank it ZERO... by give it a (-1) for the smell its the most bad smell i have ever smaled before ...and cleaning ways giving it almost (1) ... that’s make it out a Zero ... i dont know how i spent a 9.99$ on it i know its a not very much to be mad about ... i literally wouldn’t repurchase it again...   i really hate to say that about any thing but i have a very very very bad experience using it ... am sorry...,0.0
"I love that this product is green, smells good and gel textured. I am so sad this product didn’t work for me. I wanted it to work so bad! Even though this product is marketed for combination / oily skin, it caused my skin to be even more oily. The product wasn’t hydrating enough for me.",0.0
"Wow!  This product delivers.  I’ve had for about a month and I’ve used 5 times, for 10 minutes each time.  My dark spots and old acne scars have dramatically faded.  I am extremely pale and my acne spots were all dark red.  They have gotten smaller as they faded, and I think using this product a few more times and the spots will be gone.  I am thrilled!  I’ve used so many products that have done nothing, and I’m sold on this product (and the price). I will continue using this when my acne flares up.",1.0
"I’ve been using this product for the past 2 weeks sadly I have not seen any significant difference in my skin, however, is it super refreshing and I can see how it absorbs quickly. There is no fragrance which it’s nice. There’s still a little bit left on the container so I will continue to use it until it’s gone. This is a high priced item so I won’t be buying it since it didn’t work for me.",0.0
"This product is extremely light. Unfortunately, it did not hydrate my skin. My skin is dry, but not extremely dry. With this product, I felt like I was putting a very thin layer of lotion, which does not do the trick at all. I like that it’s a clean product, but it fell short of expectations.",0.0
"I didnt like the smell, bit pricey for what it does.",0.0
"Well I noticed I used a lot of product with only one use. Whether using a cotton ball, my fingers, or a cotton round, This product comes out a lot so I didn’t like that at all. While it does feel cool and refreshing on the face I didn’t notice any spectacular long lasting results with this. I received this product free in exchange for my honest review.",0.0
"This has a pleasant, non overpowering scent. I thought it applied evenly and smoothly.  I worried about it making my skin break out but it didn’t! It is a great moisturizer and makes my skin feel smooth.",1.0
"I can’t comment on the effectiveness of this serum because I decided to stop using it after 3 days. Every time i would apply it and follow up with my rose oil, the product would start to pill and give my skin the worst feeling. Overall i did not like which is upsetting because i had high hopes for this product.",0.0
"This is the key to glass skin. Its light, not scented, and I wake up with my skin feeling so hydrated and refreshed. Amazing for people with acne prone skin, better than tatcha in my opinion.",1.0
"It’s a fancy gloss, that’s it. Overhyped and overpriced. Also , Sephora is a terrible place to buy any type of k-beauty because the price is so inflated. When I sleep with this lip mask on it actually makes my dry lips worse and I wake up with cracks. Prefer my bite beauty agave!!!!",0.0
I have tried the mint and lemon so far! Love them both! Mint one was probably better in my mind because of the cooling sensation. If you don’t like that feeling just try a different scent.,1.0
It’s OK it does the job I probably would not recommend or re-purchase,0.0
"I absolutely LOVE the ’Camo Drops’ from this same line, so I decided to try this product to get the added benefit of an SPF. However, I highly prefer and recommend the Camo Drops over this. This product is much harder to spread around the face and absorb into the skin, and the shade of beige it turns into is too dark for my fair skin tone. It also leaves a “film“ on my face - like a cream foundation would. If you have redness in your complexion, I suggest using the Camo Drops.",0.0
This is a great thin eye cream! I have deep creases on my lower lids and concealers sit in them poorly. This helps a lot with making my concealer not sit deeply in them!I did use it with my bite beauty foundation (which is my fave) and it sat poorly on top of the eye cream but it’s the only one I’ve had issues with in the years I’ve been using this cream,1.0
"This is a decent sunscreen but it just didn’t work well for my skin. I have acne prone, combination skin type and this sunscreen felt very heavy and greasy on my skin. It also has a strange texture once its spread on skin, kind of velvety feeling- almost like a primer. I like that this didn’t leave my face with a white cast, but it started to clog my pores. This maybe better suited for dry or very dry skin types that are not acne prone. Also make sure to shake the bottle before using or else the sunscreen is going to come out as pure oil as this product separates easily.",0.0
"I’ve been looking for an oil cleanser that would not aggravate my sensitive skin, acne, and eczema. Found it in this Tatcha product. I double cleanse after using it. It’s a keeper.",1.0
"I used it a few times and didn’t really see any difference. Nothing that would make me want to buy the product as I was gifted a sample size. Smells good and feels good, but I feel like there are better brightening serums.",0.0
"I really wanted these strips to be amazing! I have pretty bad sebum buildup and was hoping that these would help clear those out. I left one on my nose and one on my chin overnight, but when I removed them, nothing happened. I haven’t used them since just because it seems like a waste!",0.0
I’m generally a big fan of Caudalie but this was a miss for me. It worked but I had better results (fading my post acne spots) with Glossier’s super glow for a third of the price.,0.0
smells good and is an okay lip balm (not super moisturizing) but the packaging is absolutely horrible. i can’t even use the product anymore because the tin will not open. i have had multiple people try and open it and it won’t budge,0.0
"I have very dry skin, even in the summer. I have been using this for more than a month now so I think it’s been long enough to give it a fair review. I’m not exaggerating that this has somewhat softened my cheek scarring from acne. It has made my occasional acne flair up diminish quickly and without smoothly. It leaves my face feeling so hydrating but not oily. I have been using this  everyday for a month and have barely noticed from how much is left in the bottle. TOTALLY WORTH IT!",1.0
i have combination skin that’s sensitive and this moisturizer is awesome not oily and absorbs right away!!!!!,1.0
"Feels really good and hydrating , smells really nice too ! Not like an overpowering rose scent either. I got this toner just because I’m doing the tarte night toner and sometimes I wake up feeling a little dry , so to balance out my skin I tried this one out and it will be my go to anytime I get dry .",1.0
"It’s just ok. It’s gritty, medium sized granules, but not enough granules to my liking. The smells is really nice. Someone else wrote that it doesn’t dissolve fast and I agree, so good for in-shower use. A bit hard to rinse off and leaves a bit of a sticky residue. I appreciated getting the sample (the tiny 7ml size with a promo code), but would not buy.",0.0
"I’ve been using this cream for the past 2 months. I noticed a change around the 3 week mark. It has improved the look and texture of my skin overall. I was not impressed by the price, but a little goes a long way. I will be buying this night cream again.",1.0
"my skin is extremely oily. this moisturizer didn’t help. i did like how light it felt on my skin and how it absorbed quickly, but my skin still became oily after. returned the container.",0.0
"didn’t do anything, wasn’t even hydrating. I think it actually irritated my under eyes a little bit. You only use a little product so I guess it will last a long time? only positive I can think of.",0.0
Leaves my face sticky for well over an hour. Can’t apply any product on top of it without it creating a mess.,0.0
I received this product for free through Influenster for review. This is my first ever time trying a cleansing balm and I totally see the hype! It removed my makeup so quickly and made my skin feel so soft and didn’t leave any residue. I will continue to enjoy this product!,1.0
So happy that I got a free sample to try this.  Totally worth purchasing,1.0
The watermelon toner I had recieved was getting leaked it’s really disappointed ... because I buying this product,0.0
"my nightly face wash! i used to use the la roche posay salicylic acid cleanser, but i found this one to be more effective for my skin. it does not contain menthol which can be an irritating ingredient. the price tag for this cleanser is something that stood out. imo, the inkey list is one of my favorite and most effective brand at an amazing price. def love this for acne prone skin ;)",1.0
"I received this as a sample, and disliked almost everything about it. It’s very thin, making it hard to apply without dripping, and the blue color caused some stains. After applying, it just sits on my skin and never absorbs, even overnight. After using it for a week, the only visible difference was my oily hair and pillowcase. And to top it off, it has a very unpleasant smell.",0.0
it works pretty well... but the tube has like hardly any product in it :(( i bought this less than 3 months ago and im already running out,0.0
Oh my gosh this stuff is great! It’s thick and creamy with bits of physical exfoliants that are not harsh at all. I was surprised this worked so well it left my face feeling soft and moisturized. Would highly recommend for those who are interested in a physical and chemical exfoliant. As it works great and is not harsh on the skin.,1.0
I was excited to try this. unfortunately it was underwhelming. the cleaner goes has a nice texture but my skin didn’t feel clean after. not a deep cleanse for me,0.0
"LOVE the feel of this serum, but given the sample size it’s hard to see any results.",1.0
"I originally received this in a sephora play box, and it’s been life changing. I’ve always had acne since I was young, starting around 12/13, some of it cystic. I’m now in my mid 30s and still get it, though not as bad. Since I started using this 2-3 times a week, it’s been life changing. I feel so much more confident in my skin, and while I do still have some acne, the ones I do get are much smaller, less painful and go away much faster without scarring. I couldn’t do without this product!",1.0
This made me breakout. It may be my skin or the AHA’s but I cant say I loved it. I did receive this product complimentary product to review.,0.0
Great product and was very effective and noticed good results after a few days of use.,1.0
"For reference I have combination skin. With the right products, I don’t have any oils break through by the end of a full day of makeup but if i also do enjoy a more natural look where my natural oils can come through. However when I applied a tiny bit of this face base prior to applying makeup my face got oily very quickly. It feels super nice and moisturizing but I would rather use it as a nighttime moisturizer or a base for no makeup makeup days! Under my usual products it is just too intense for my skin type. Overall would recommend for people with normal to dry skin, not combo oily skin.",0.0
I received these complimentary from Peace out skincare to try. These acne patches are game changers! I literally had some hormonal breakouts in the chin area. I applied a patch at night and when I woke up the next day the pimple was literally barely visible anymore and the patch drew everything completely out. It was honestly like magic.,1.0
This didn’t irritate my skin. Pairs great with the glycolic night serum. Not super heavy & very moisturizing- overall can’t complain,1.0
"I love origins’ products... and i was REALLY excited to use this, thankfully I bought the mini sizes, it really did nothing for my face.. just made it greasy, sticky. I used it for over week and a half, I tried to give it a chance but there are far more better moisturizers than this. Also, I have combo skin.",0.0
"I got this to try it out and if I’m being honest, I don’t think it does anything but it does feel nice going on the skin. It has a very nice consistency",0.0
"I liked it, but doesn’t seem worth the hefty price tag. Feels like overpriced Nivea almost. The peppermint oil did slightly irritate my skin. I think there are better hydrating leave-on masks out there!",0.0
"I love how well it blends into my natural skin color and hides the redness. When I’m running late, I’ll use this all over my face and neck. It works great as a sheer cover-up, hiding redness, and it has spf 35. My skin is super sensitive from burns that are still healing; and I can use this daily without irritating my skin. There are a few nitpicky things that could be better. The thing that bothers me the most is the smell. The scent is very wood and herbal forward. Also, the formulation of the product tends to separate. Sometimes it’s more watery in the center of the container and more clay like around the rim of the jar. And the product will stain white or lighter color fabrics, leaving behind a flesh tone color. For example, on hot days, I’ll dab the sweat off my face with a towel. And since my towels are white, I can see the product on the towel. But, it usually comes off in the laundry without any problems.",1.0
"It really makes your face soft, it adds like a nice filter to it. I would definitely get it again down the line",1.0
"I bought this to use as an overnight mask but it always leaves my face feeling super tight and dry in the morning. I then started using it as a wash off mask and the results are not as hydrating as I would have expected from the price. However, I’ve been applying it on my under eye area and it has visibly improved the appearance. In my personal opinion, I do not recommend this product and will not be purchasing it again.",0.0
"It’s a good product and does what it claims. It does keep my face hydrated but I find that I need to apply quite a bit of the product. Considering the price, I am not sure if it is worth for me. I find there are other similar products at a much cheaper price.",0.0
"I’ve used Good Genes for over a year and have repurchased it three times. It is worth every penny to me as my skin is sensitive and have never had an issue with this product. In addition, I’ve used it with Luna oil and Tidal cream. They blend well together and do not cause any reactions. Good Genes has a pleasant light lemon/lemongrass smell and is very light in texture. It has made my skin so plump and soft. It has eliminated dryness and accompanying flakiness. I even use it on my hands during winter when the humidity is super low and my hand stopped cracking.",1.0
"Received #freeproduct in exchange for honest review. This serum is so light weight and easily absorbed that it doesn’t feel like I applied anything. It is not tacky/ oily/ dry after application which I love. It smells like a combination  of grass, ginger, and cleaning products but doesn’t bother me. I notice this serum helps at controlling my oils during the day. It has helped with making pores appear smaller, too. I do not notice any increase or decrease in active breakouts with this product ( I struggle with hormonal acne during that time of month), but it does help with calming the spots I do get. Recommend this serum for those that have acne prone oily skin if you want to splurge and treat yourself to a lovely formulated serum.",1.0
"I think this product is ok, It makes your lips look nice and glossy, makes them hydrated, and has almost no smell/is light. I would not purchase it though as there are cheaper options on the market that work just as well/better.",0.0
"I’m so conflicted. I read all the reviews and really want this to work but it hasn’t yet. Previously, was using a 20% Glycolic Peel once a week and switching off of different masks, peels, and retinols. I always finished with Fresh Age Delay Overnight Mask & Eye Concentrate.. my skin was amazing. I was hoping this Sunday Riley would take it to the next level! Unfortunately, it hasn’t. If anything I feel like my skin has become worse. It’s dull, dry, I’ve broken out, and I’m starting to see lines on my forehead that my old regimen would never allow! I’m giving this two stars because I want it to work so badly. I put all my hope into this product the last few months but will definitely start to incorporate previous regimen products. Hopefully I can find a way to maximum benefits and make these work for me!",0.0
Love the Berry Lip Glow Balm. Glides on easily and feels so good!,1.0
I LOVE this product. It’s very concentrated- a little bit goes a long way. It’s super hydrating without feeling heavy or greasy.,1.0
Does anybody else have a problem with the bottle? I ordered this in the summer but never used it because I realized it said it is not good for sun exposure so when I decided to use it in October the bottle was not functioning properly and they sent me an replacement order but the 2nd bottle also is not functioning.,0.0
LOVE THIS STUFF!! I used to have pretty active acne and acne scarring. I’ve heard so many amazing things about this stuff that I figured I would try it myself. This is the best my face has looked in YEARS!! I will never purchase another face wash again unless it is this stuff!!!!!!!,1.0
I adored the first bottle of this I bought last year and I’m not sure if I got a bad bottle or the formula changed but this pills up everything I use underneath :/ used to be 5/5 but I can’t say that anymore. I’m using the same products I used with the first bottle so I’m not sure what happened.,0.0
"Very hydrating and illuminating moisturizer. Does not make my skin more oily, instead it gives me a glow. I love to use it before going to the gym as a light moisturizer.",1.0
"After using this, my skin felt cleaner and smoother and it drew out the bad stuff from my blemishes, making it easier for my other nightly skincare products to diminish them come morning! The wrinkles and dark spots It smells great, too! My only problems is that I don’t think the packaging stated how much product to apply onto your face, so I ended up putting on too much because a little goes a long way with this product! I would have liked it to have stated something like “1 or 2 pumps.” When I was at the rubbing stage, it still stood pink rather than white because I put so much on. But I will remember this the next time I use it! I was sent this product free to try out.",1.0
Literally the best moisturizer I’ve ever used. I have extremely dry skin too. I never leave reviews but I have to with this.,1.0
"This is a sunscreen that you ‘want’ to use. Typically I dread applying sunscreen because of all the effort it takes to blend into my skin. This one is effortless, lightweight and the best part is NO WHITE CAST. Highly recommend giving this a try!",1.0
"I got this as part of the Drunk Elephant The Littles kit. It’s a great cleanser that does what it’s supposed to do, but, for someone that doesn’t wear makeup or have oily skin to begin with, it’s simply not worth the price tag for me.",0.0
LOVEEE this lotion! Feels so luxurious and leaves my face feeling so hydrated even the next morning. It absorbs super quickly into the skin and feels light weight but is so hydrating. Would definitely buy again!,1.0
"When I got this as a sample, I really didn’t quite grasp the idea of a LIP mask, yet alone for nighttime.  I was pleasantly surprised!  My lips in the morning STILL have the product on them and my lips have never been this smooth and soft.  Yes I do a lip scrub, and this goes on right after.  My lipstick has been staying on longer and it may be all in my head, but my lips look a tad fuller.  If you are unsure, just ask for a sample!  It smells good too!  It also comes in vanilla as well!",1.0
"I have extremely dry skin so I thought this would be perfect for me. I used only at night time and it would sit on top of my skin and never sank into my skin even after a couple hours. My husband even asked me why my face looked so greasy and I’ve never had a moisturizer make me greasy being I have dry skin. I need a moisturizer that will sink into my skin and give me hydrating benefits but this just didn’t do it for me. The packaging is adorable and the smell was nice, I wish it worked for me.",0.0
"I have combo skin and find this works well overnight to leave my skin feeling plump and moisturized in the morning. I have not used it as a day cream. While I wouldn’t say this does anything amazing, I do love it.",1.0
"I was really hoping I wouldn’t like this product as much but omg, its amazing. Although its a wash off kind of product, it really leaves my skin feeling amazing and helps it keep acne free. I am definitely going to be repurchasing. It works wonders for my skin type.",1.0
"I have always struggled with chapped lips, until I discovered this holy grail of lip masks! I put it on every night before bed and my lips NEVER peel anymore. I’ve never been so impressed with a product before. If I forget to put it on one night, I can tell my lips are a lot dryer the next day. I’ll never go to bed again without this stuff!",1.0
Love this! Not oily. Light and fast absorbing but super hydrating. Smells good going on but doesn’t leave a scent.  This winter weather isn’t shown in my skin thanks to this wonderful cream.,1.0
"They don’t remove eye makeup that well, and they don’t feel as moist as they should. I had to push hard into my skin for it to really work. Got the sample size though, so I won’t be buying again. I normally use a micellar water so maybe that’s why I don’t like these as much.",0.0
After this I wake up with such moisturizes skin! It feels so smooth during application and absorbs in in just 10 minutes. It has helped reduce the redness induced by dry skin!,1.0
